[arbitration_ID]:0,[coarse_time]:1FB,[fine_time]:59
[arbitration_ID]:0,[coarse_time]:453,[fine_time]:5D
[arbitration_ID]:2,[coarse_time]:6AB,[fine_time]:5B
[arbitration_ID]:2,[coarse_time]:903,[fine_time]:4
[arbitration_ID]:2,[coarse_time]:B5B,[fine_time]:3
[packet_num]:0,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:64
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:1F
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:43
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:11
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:13
[packet_num]:1,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:61
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:1B
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:15
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:23
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:23
[packet_num]:2,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:24
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:20
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:20
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:31
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:30
[packet_num]:3,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:29
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:30
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:2E
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:3A
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:30
[packet_num]:4,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:42
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:38
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:40
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:47
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:54
[packet_num]:5,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:53
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:47
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:4D
[arbitration_ID]:2,[coarse_time]:903,[fine_time]:64
[arbitration_ID]:2,[coarse_time]:B5B,[fine_time]:64
[packet_num]:6,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:2
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:3
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:65
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:1B
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:15
[packet_num]:7,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:1B
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:1B
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:15
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:27
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:1A
[packet_num]:8,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:27
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:23
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:26
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:29
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:28
[packet_num]:9,[arbitration_ID]:2,[DLC]:8
[arbitration_ID]:0,[coarse_time]:1FA,[fine_time]:29
[arbitration_ID]:0,[coarse_time]:452,[fine_time]:3B
[arbitration_ID]:2,[coarse_time]:6AA,[fine_time]:29
[arbitration_ID]:2,[coarse_time]:902,[fine_time]:38
[arbitration_ID]:2,[coarse_time]:B5A,[fine_time]:38
