mean,stdev,variance,skew,kurtosis,max,min,rms,en,fine_stdev,label

160.8670,4.4376,19.6922,0.1750,-1.0434,166.4880,155.7080,160.9129,25892.9608,4.4376,ECU0
111.5500,12.8637,165.4744,1.1383,-0.6790,130.8000,104.0040,112.1049,12567.5083,12.8637,ECU0
110.3280,13.8351,191.4090,1.0620,-0.7351,130.8000,100.6360,110.9767,12315.8243,11.8410,ECU0
109.9480,11.2125,125.7192,1.0374,-0.7407,126.4880,101.5600,110.3760,12182.8521,2.2773,ECU0
99.0190,3.0633,9.3836,-0.2372,-1.6902,101.5600,95.4000,99.0545,9811.8001,3.0633,ECU0
109.0960,14.4886,209.9186,1.1455,-0.6737,130.8000,100.9440,109.8152,12059.3761,11.7552,ECU0
102.7920,3.3833,11.4469,0.0000,-1.9890,105.8720,99.7120,102.8338,10574.7805,3.3833,ECU0
110.8570,8.4438,71.2982,1.0923,-0.7131,123.4080,105.2360,111.0979,12342.7481,8.4438,ECU0
102.5610,4.6804,21.9057,-0.1615,-1.7666,106.7960,97.2480,102.6411,10535.1880,4.6804,ECU0
106.3140,2.0353,4.1424,-0.2521,-1.0446,108.6240,103.6960,106.3286,11305.7734,2.0353,ECU0
97.7870,3.0529,9.3204,-0.7264,-1.0998,100.0200,93.5520,97.8227,9569.2877,3.0529,ECU0
110.5540,12.3082,151.4906,1.1312,-0.6862,128.9520,103.6960,111.0667,12335.8049,13.7501,ECU0
95.4770,3.6649,13.4312,-0.2151,-1.0081,99.7120,90.7800,95.5297,9125.9309,3.6649,ECU0
92.9360,5.6848,32.3170,-0.9884,-0.7915,97.2480,84.6200,93.0663,8661.3378,5.6848,ECU0
109.8560,10.9560,120.0346,1.1083,-0.7009,126.1800,102.7720,110.2650,12158.3667,10.9560,ECU0
96.8630,3.7837,14.3166,0.4926,-1.2264,101.8680,93.2440,96.9184,9393.1782,3.7837,ECU0
111.6370,12.8280,164.5579,1.1261,-0.6876,130.8000,103.6960,112.1884,12586.2382,12.1764,ECU0
114.0190,12.2654,150.4404,-0.0553,-1.8870,125.5640,101.2320,114.5127,13113.1627,11.9086,ECU0
112.0890,12.6727,160.5968,1.0447,-0.7395,130.8000,102.7720,112.6250,12684.3916,12.6727,ECU0
168.4080,13.9115,193.5293,0.9537,-0.8190,188.6440,157.5560,168.8384,28506.4015,4.8699,ECU0
90.4720,2.1487,4.6167,0.2449,-1.0000,93.2440,88.0080,90.4911,8188.6453,2.1487,ECU0
101.7910,4.6532,21.6527,-0.4859,-1.3432,105.8720,95.7080,101.8707,10377.6472,4.6532,ECU0
115.0200,15.3659,236.1105,0.0504,-1.9148,130.8000,100.9440,115.7872,13406.6833,12.1832,ECU0
122.0270,14.4486,208.7633,-1.0694,-0.7418,130.8000,100.6360,122.6669,15047.1612,4.8528,ECU0
116.4110,14.8608,220.8447,-0.0286,-1.8949,130.8000,101.2520,117.1203,13717.1544,3.9553,ECU0
